USNO10900184:255800343
GBBTF0700097:255800334
USEE10100741:255800324
GBBTF0700095:255800319
GBBTF0700096:255800308
USEE10100732:255800307
GBBTF0700101:255800297
USEE10100731:255800294
USEE10100739:255800293
USEE10100734:255800291
USEE10100736:255800288
GBBTF0700103:255800279
GBBYF0700100:255800278
USEE10100740:255800276
GBBTF0200250:255800274
USEE10100737:255800273
GBBTF0200240:255800270
GBBTF0400290:255800268
USEE10100733:255800263
GBBTF0200251:255800262
USEE10100730:255800261
GBBTF0700104:255800260
GBBTF0700098:255800257
GBBTF0200254:255800256
GBBTF9300122:255800254
GBBTF9700107:255800253
GBBTF0700102:255800252
GBBTF9700093:255800251
GBBTF1100090:255800250
GBBTF9700092:255800249
GBBTF9300124:255800246
GBBTF9300125:255800245
GBBTF0200241:255800242
GBBTF0200102:255800241
GBBTF0200109:255800240
GBBTF1100122:255800239
GBBTF0200242:255800238
GBBTF1100096:255800236
USEE10100738:255800235
GBBTF9700142:255800233
GBBTF0200252:255800232
GBBTF0200129:255800231
GBBTF0200244:255800230
GBBTF0200103:255800229
GBBTF0200100:255800228
GBBTF0200246:255800225
GBBTF0200248:255800224
GBBTF9300126:255800222
USNO10900284:255800221
USNO10900293:255800219
GBBTF0200245:255800218
GBBTF0200130:255800217
GBBTF0200106:255800216
GBBTF9300118:255800215
GBBTF9300119:255800214
GBBTF0200247:255800213
GBBTF1100081:255800212
GBBTF0200127:255800211
GBBTF9300120:255800209
GBBTF0200132:255800208
GBBTF9300121:255800207
USEE19689706:255800204
GBBTF0200243:255800203
GBBTF9700095:255800202
GBBTF1100083:255800201
GBBTF0200239:255800199
GBBTF0200099:255800198
USEE10001567:255800197
GBBTF0200128:255800196
GBBTF1100089:255800194
GBBTF9300001:255800193
GBBTF0400292:255800192
USNO10900185:255800189
GBBTF0200126:255800188
USEE19689705:255800187
GBBTF0200125:255800185
GBBTF0200131:255800182
USNO10900288:255800180
USEE19689710:255800178
USNO10900294:255800177
GBBTF0200249:255800176
GBBTF0200105:255800173
USNO10900287:255800172
GBBTF9300123:255800170
GBBTF0400295:255800168
GBBTF1100082:255800167
GBBTF0200253:255800165
GBBTF1100123:255800164
USNO10900182:255800163
USEE10100735:255800161
USNO10900292:255800157
GBBTF1100078:255800155
USEE19689703:255800153
USEE19689702:255800148
